Training: loss = 53.27873 | Val: loss = 263.72487
Training: loss = 52.92071 | Val: loss = 263.91951
Training: loss = 51.38920 | Val: loss = 261.20843
Training: loss = 51.81662 | Val: loss = 260.37979
Training: loss = 50.47975 | Val: loss = 258.11210
Training: loss = 50.46202 | Val: loss = 259.92723
Training: loss = 51.26191 | Val: loss = 256.14570
Training: loss = 51.75158 | Val: loss = 258.87638
Training: loss = 54.02852 | Val: loss = 260.12473
Training: loss = 49.36219 | Val: loss = 258.96866
Training: loss = 50.73797 | Val: loss = 257.91944
Training: loss = 51.33271 | Val: loss = 256.46711
Training: loss = 53.48643 | Val: loss = 255.95315
Training: loss = 56.25703 | Val: loss = 259.07492
Training: loss = 53.18535 | Val: loss = 255.85785
Training: loss = 52.82275 | Val: loss = 255.86739
Training: loss = 51.34997 | Val: loss = 254.81640
Training: loss = 52.37470 | Val: loss = 252.11341
Training: loss = 50.27469 | Val: loss = 252.71826
Training: loss = 52.36085 | Val: loss = 254.45169
Training: loss = 53.27337 | Val: loss = 250.35321
Training: loss = 55.49799 | Val: loss = 249.89153
Training: loss = 54.91708 | Val: loss = 251.04452
Training: loss = 51.60750 | Val: loss = 247.30981
Training: loss = 53.27344 | Val: loss = 245.34026
Training: loss = 51.82102 | Val: loss = 244.57248
Training: loss = 51.05214 | Val: loss = 246.14885
Training: loss = 51.59157 | Val: loss = 240.92840
Training: loss = 51.91129 | Val: loss = 242.88113
Training: loss = 51.65348 | Val: loss = 238.77986
Training: loss = 51.46111 | Val: loss = 241.39775
Training: loss = 53.66992 | Val: loss = 237.55728
Training: loss = 52.80388 | Val: loss = 238.10642
Training: loss = 50.10790 | Val: loss = 237.78668
Training: loss = 51.46453 | Val: loss = 237.92599
Training: loss = 50.88781 | Val: loss = 237.25934
Training: loss = 50.92445 | Val: loss = 236.17794
Training: loss = 51.32663 | Val: loss = 233.05933
Training: loss = 49.10304 | Val: loss = 231.10233
Training: loss = 54.08434 | Val: loss = 232.28388
Training: loss = 49.56905 | Val: loss = 232.29319
Training: loss = 52.43342 | Val: loss = 230.76476
Training: loss = 52.84125 | Val: loss = 231.43600
Training: loss = 51.16466 | Val: loss = 233.05386
Training: loss = 51.99022 | Val: loss = 231.57834
Training: loss = 50.39364 | Val: loss = 229.25037
Training: loss = 48.86514 | Val: loss = 228.62183
Training: loss = 49.97091 | Val: loss = 227.09840
Training: loss = 51.93723 | Val: loss = 225.61413
Training: loss = 51.32329 | Val: loss = 225.99877
